Temps;Température
1726;318,836655
1728;318,836655
1730;318,6896826
1732;318,6896826
1734;318,6896826
1736;318,5427102
1738;318,5427102
1740;318,3957379
1742;318,3957379
1744;318,2487655
1746;318,2487655
1748;318,2487655
1750;318,1017931
1752;318,1017931
1754;317,9548207
1756;317,9548207
1758;317,9548207
1760;317,8078484
1762;317,8078484
1764;317,660876
1766;317,660876
1768;317,5139036
1770;317,5139036
1772;317,5139036
1774;317,3669312
1776;317,3669312
1778;317,3669312
1780;317,2199589
1782;317,2199589
1784;317,0729865
1786;317,0729865
1788;316,9260141
1790;316,9260141
1792;316,9260141
1794;316,7790417
1796;316,7790417
1798;316,6320694
1800;316,6320694
1802;316,6320694
1804;316,485097
1806;316,485097
1808;316,3381246
1810;316,3381246
1812;316,1911523
1814;316,1911523
1816;316,1911523
1818;316,0441799
1820;316,0441799
1822;315,8972075
1824;315,8972075
1826;315,8972075
1828;315,7502351
1830;315,7502351
1832;315,6032628
1834;315,6032628
1836;315,4562904
1838;315,4562904
1840;315,4562904
1842;315,309318
1844;315,309318
1846;315,1623456
